TransactionId,CardId,Date,ValutaDate,Amount,Currency,OriginalAmount,OriginalCurrency,MerchantName,MerchantPlace,MerchantCountry,StateType,Details,Type,Exchange Rate
TRX2025060400000058,404703AB01CD1001,2025-06-04 12:01:00,2025-06-05 00:00:00,20.870,CHF,20.870,CHF,dm-drogerie markt,Zurich,CHE,BOOKED,dm-drogerie markt,merchant,1.000000
TRX2025060700000059,404703AB01CD1001,2025-06-07 06:00:00,2025-06-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025060700000060,404703AB01CD1001,2025-06-07 11:29:00,2025-06-08 00:00:00,40.140,CHF,40.140,CHF,Wagamama,London,CHE,BOOKED,Wagamama,merchant,1.000000
TRX2025060800000061,404703AB01CD1001,2025-06-08 16:01:00,2025-06-09 00:00:00,47.760,CHF,47.760,CHF,Lidl Schweiz,Winterthur,CHE,BOOKED,Lidl Schweiz,merchant,1.000000
TRX2025061000000062,404703AB01CD1001,2025-06-10 19:05:00,2025-06-11 00:00:00,61.290,CHF,61.290,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025061100000063,404703AB01CD1001,2025-06-11 06:00:00,2025-06-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025061200000064,404703AB01CD1001,2025-06-12 17:16:00,2025-06-13 00:00:00,40.930,CHF,40.930,CHF,Cinema Corso,Zurich,CHE,BOOKED,Cinema Corso,merchant,1.000000
TRX2025062200000065,404703AB01CD1001,2025-06-22 12:48:00,2025-06-23 00:00:00,25.970,CHF,25.970,CHF,Cinema Corso,Zurich,CHE,BOOKED,Cinema Corso,merchant,1.000000
TRX2025062300000066,404703AB01CD1001,2025-06-23 12:06:00,2025-06-24 00:00:00,48.080,CHF,48.080,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025062300000067,404703AB01CD1001,2025-06-23 13:41:00,2025-06-24 00:00:00,14.110,CHF,14.110,CHF,Backerei Hofer Bakery,Uster,CHE,BOOKED,Backerei Hofer Bakery,merchant,1.000000
TRX2025070400000068,404703AB01CD1001,2025-07-04 06:00:00,2025-07-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025070400000069,404703AB01CD1001,2025-07-04 08:30:00,2025-07-05 00:00:00,1240.000,CHF,1240.000,CHF,Swiss Intl Air Lines,,CHE,BOOKED,SWISS INT AIR LINES,merchant,1.000000
TRX2025070700000070,404703AB01CD1001,2025-07-07 06:00:00,2025-07-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025070700000071,404703AB01CD1001,2025-07-07 13:11:00,2025-07-08 00:00:00,18.320,CHF,18.320,CHF,Cinema Corso,Zurich,CHE,BOOKED,Cinema Corso,merchant,1.000000
TRX2025071100000072,404703AB01CD1001,2025-07-11 06:00:00,2025-07-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025071100000073,404703AB01CD1001,2025-07-11 11:05:00,2025-07-12 00:00:00,17.940,CHF,17.940,CHF,Parkhaus Hohe Promenade,Zurich,CHE,BOOKED,Parkhaus Hohe Promenade,merchant,1.000000
TRX2025071200000074,404703AB01CD1001,2025-07-12 08:32:00,2025-07-13 00:00:00,28.270,CHF,28.270,CHF,Lidl Schweiz,Winterthur,CHE,BOOKED,Lidl Schweiz,merchant,1.000000
TRX2025071200000075,404703AB01CD1001,2025-07-12 16:00:00,2025-07-13 00:00:00,890.000,CHF,890.000,CHF,Hotel Bellavista,Ascona,CHE,BOOKED,HOTEL BELLAVISTA,merchant,1.000000
TRX2025071300000076,404703AB01CD1001,2025-07-13 18:13:00,2025-07-14 00:00:00,56.220,CHF,56.220,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
TRX2025071400000077,404703AB01CD1001,2025-07-14 20:23:00,2025-07-15 00:00:00,62.420,CHF,62.420,CHF,H & M,Zurich,CHE,BOOKED,H & M,merchant,1.000000
TRX2025071500000078,404703AB01CD1001,2025-07-15 10:27:00,2025-07-16 00:00:00,27.940,CHF,27.940,CHF,Doener Kebab Haus,Zurich,CHE,BOOKED,Doener Kebab Haus,merchant,1.000000
TRX2025071500000079,404703AB01CD1001,2025-07-15 15:15:00,2025-07-16 00:00:00,60.470,CHF,60.470,CHF,Pizzeria Napoli,Zurich,CHE,BOOKED,Pizzeria Napoli,merchant,1.000000
TRX2025072200000080,404703AB01CD1001,2025-07-22 09:15:00,2025-07-23 00:00:00,-89.900,CHF,-89.900,CHF,Zalando,,CHE,BOOKED,ZALANDO RETURN,merchant,1.000000
TRX2025072500000081,404703AB01CD1001,2025-07-25 15:44:00,2025-07-26 00:00:00,37.000,CHF,37.000,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025072500000082,404703AB01CD1001,2025-07-25 19:16:00,2025-07-26 00:00:00,22.310,CHF,22.310,CHF,Kunsthaus Zurich,Zurich,CHE,BOOKED,Kunsthaus Zurich,merchant,1.000000
TRX2025080400000083,404703AB01CD1001,2025-08-04 06:00:00,2025-08-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025080700000084,404703AB01CD1001,2025-08-07 06:00:00,2025-08-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025081100000085,404703AB01CD1001,2025-08-11 06:00:00,2025-08-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025081200000086,404703AB01CD1001,2025-08-12 17:09:00,2025-08-13 00:00:00,16.810,CHF,16.810,CHF,Backerei Hofer Bakery,Uster,CHE,BOOKED,Backerei Hofer Bakery,merchant,1.000000
TRX2025081200000087,404703AB01CD1001,2025-08-12 19:18:00,2025-08-13 00:00:00,92.520,CHF,92.520,CHF,Coop,Zurich,CHE,BOOKED,Coop,merchant,1.000000
TRX2025081700000088,404703AB01CD1001,2025-08-17 18:22:00,2025-08-18 00:00:00,15.840,CHF,15.840,CHF,Cafe Central,Zurich,CHE,BOOKED,Cafe Central,merchant,1.000000
TRX2025082100000089,404703AB01CD1001,2025-08-21 13:57:00,2025-08-22 00:00:00,28.810,CHF,28.810,CHF,Parkhaus Hohe Promenade,Zurich,CHE,BOOKED,Parkhaus Hohe Promenade,merchant,1.000000
TRX2025082100000090,404703AB01CD1001,2025-08-21 19:13:00,2025-08-22 00:00:00,66.170,CHF,66.170,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
TRX2025082500000091,404703AB01CD1001,2025-08-25 17:32:00,2025-08-26 00:00:00,398.710,CHF,398.710,CHF,Galaxus,Zurich,CHE,BOOKED,Galaxus,merchant,1.000000
TRX2025082600000092,404703AB01CD1001,2025-08-26 15:57:00,2025-08-27 00:00:00,67.270,CHF,67.270,CHF,Coiffeur Salon Neun,Zurich,CHE,BOOKED,Coiffeur Salon Neun,merchant,1.000000
TRX2025082800000093,404703AB01CD1001,2025-08-28 18:30:00,2025-08-29 00:00:00,100.380,CHF,100.380,CHF,Decathlon,Zurich,CHE,BOOKED,Decathlon,merchant,1.000000
TRX2025090300000094,404703AB01CD1001,2025-09-03 16:23:00,2025-09-04 00:00:00,19.740,CHF,19.740,CHF,Doener Kebab Haus,Zurich,CHE,BOOKED,Doener Kebab Haus,merchant,1.000000
TRX2025090400000095,404703AB01CD1001,2025-09-04 06:00:00,2025-09-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025090600000096,404703AB01CD1001,2025-09-06 14:58:00,2025-09-07 00:00:00,46.400,CHF,46.400,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025090700000097,404703AB01CD1001,2025-09-07 06:00:00,2025-09-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025090700000098,404703AB01CD1001,2025-09-07 19:36:00,2025-09-08 00:00:00,63.780,CHF,63.780,CHF,Pizzeria Napoli,Zurich,CHE,BOOKED,Pizzeria Napoli,merchant,1.000000
TRX2025091100000099,404703AB01CD1001,2025-09-11 06:00:00,2025-09-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025091500000100,404703AB01CD1001,2025-09-15 16:22:00,2025-09-16 00:00:00,43.110,CHF,43.110,CHF,Wagamama,London,CHE,BOOKED,Wagamama,merchant,1.000000
TRX2025091500000101,404703AB01CD1001,2025-09-15 19:54:00,2025-09-16 00:00:00,5.740,CHF,5.740,CHF,Backerei Hofer Bakery,Uster,CHE,BOOKED,Backerei Hofer Bakery,merchant,1.000000
TRX2025091800000102,404703AB01CD1001,2025-09-18 10:47:00,2025-09-19 00:00:00,115.480,CHF,115.480,CHF,Restaurant Krone,Zurich,CHE,BOOKED,Restaurant Krone,merchant,1.000000
TRX2025092400000103,404703AB01CD1001,2025-09-24 15:00:00,2025-09-25 00:00:00,612.500,CHF,612.500,CHF,IKEA,Dietlikon,CHE,BOOKED,IKEA DIETLIKON,merchant,1.000000
TRX2025100100000104,404703AB01CD1001,2025-10-01 19:18:00,2025-10-02 00:00:00,30.500,CHF,30.500,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025100400000105,404703AB01CD1001,2025-10-04 06:00:00,2025-10-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025100700000106,404703AB01CD1001,2025-10-07 06:00:00,2025-10-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025100800000107,404703AB01CD1001,2025-10-08 14:14:00,2025-10-09 00:00:00,64.710,CHF,64.710,CHF,SBB CFF FFS,Zurich,CHE,BOOKED,SBB CFF FFS,merchant,1.000000
TRX2025100800000108,404703AB01CD1001,2025-10-08 17:27:00,2025-10-09 00:00:00,42.790,CHF,42.790,CHF,Cinema Corso,Zurich,CHE,BOOKED,Cinema Corso,merchant,1.000000
TRX2025101100000109,404703AB01CD1001,2025-10-11 06:00:00,2025-10-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025101100000110,404703AB01CD1001,2025-10-11 10:37:00,2025-10-12 00:00:00,60.060,CHF,60.060,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025101400000111,404703AB01CD1001,2025-10-14 19:55:00,2025-10-15 00:00:00,56.500,CHF,56.500,CHF,Aldi Suisse,Winterthur,CHE,BOOKED,Aldi Suisse,merchant,1.000000
TRX2025101700000112,404703AB01CD1001,2025-10-17 19:09:00,2025-10-18 00:00:00,71.030,CHF,71.030,CHF,H & M,Zurich,CHE,BOOKED,H & M,merchant,1.000000
TRX2025102200000113,404703AB01CD1001,2025-10-22 10:03:00,2025-10-23 00:00:00,11.440,CHF,11.440,CHF,Starbucks,Zurich,CHE,BOOKED,Starbucks,merchant,1.000000
TRX2025102500000114,404703AB01CD1001,2025-10-25 15:50:00,2025-10-26 00:00:00,80.330,CHF,80.330,CHF,Migros,Zurich,CHE,BOOKED,Migros,merchant,1.000000
TRX2025110100000115,404703AB01CD1001,2025-11-01 16:26:00,2025-11-02 00:00:00,108.700,CHF,108.700,CHF,Migros,Zurich,CHE,BOOKED,Migros,merchant,1.000000
TRX2025110400000116,404703AB01CD1001,2025-11-04 06:00:00,2025-11-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025110700000117,404703AB01CD1001,2025-11-07 06:00:00,2025-11-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025111100000118,404703AB01CD1001,2025-11-11 06:00:00,2025-11-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025111200000119,404703AB01CD1001,2025-11-12 18:10:00,2025-11-13 00:00:00,33.480,CHF,33.480,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025111900000120,404703AB01CD1001,2025-11-19 08:54:00,2025-11-20 00:00:00,89.000,CHF,89.000,CHF,Fitnesspark Zurich,Zurich,CHE,BOOKED,Fitnesspark Zurich,merchant,1.000000
TRX2025111900000121,404703AB01CD1001,2025-11-19 13:36:00,2025-11-20 00:00:00,6.280,CHF,6.280,CHF,Backerei Hofer Bakery,Uster,CHE,BOOKED,Backerei Hofer Bakery,merchant,1.000000
TRX2025112000000122,404703AB01CD1001,2025-11-20 13:31:00,2025-11-21 00:00:00,59.790,CHF,59.790,CHF,Coop,Zurich,CHE,BOOKED,Coop,merchant,1.000000
TRX2025112200000123,404703AB01CD1001,2025-11-22 14:03:00,2025-11-23 00:00:00,127.760,CHF,127.760,CHF,Zalando,,CHE,BOOKED,Zalando,merchant,1.000000
TRX2025112800000124,404703AB01CD1001,2025-11-28 13:10:00,2025-11-29 00:00:00,549.000,CHF,549.000,CHF,Galaxus,Zurich,CHE,BOOKED,GALAXUS DIGITEC,merchant,1.000000
TRX2025120400000125,404703AB01CD1001,2025-12-04 06:00:00,2025-12-05 00:00:00,12.950,CHF,12.950,CHF,Spotify,,CHE,BOOKED,SPOTIFY AB,merchant,1.000000
TRX2025120500000126,404703AB01CD1001,2025-12-05 16:35:00,2025-12-06 00:00:00,49.510,CHF,49.510,CHF,Wagamama,London,CHE,BOOKED,Wagamama,merchant,1.000000
TRX2025120600000127,404703AB01CD1001,2025-12-06 19:55:00,2025-12-07 00:00:00,34.590,CHF,34.590,CHF,SBB CFF FFS,Zurich,CHE,BOOKED,SBB CFF FFS,merchant,1.000000
TRX2025120700000128,404703AB01CD1001,2025-12-07 06:00:00,2025-12-08 00:00:00,19.900,CHF,19.900,CHF,Netflix,,CHE,BOOKED,NETFLIX.COM,merchant,1.000000
TRX2025120800000129,404703AB01CD1001,2025-12-08 12:14:00,2025-12-09 00:00:00,11.680,CHF,11.680,CHF,Cafe Central,Zurich,CHE,BOOKED,Cafe Central,merchant,1.000000
TRX2025121100000130,404703AB01CD1001,2025-12-11 06:00:00,2025-12-12 00:00:00,4.900,CHF,4.900,CHF,Apple.com/Bill,,CHE,BOOKED,APPLE.COM/BILL,merchant,1.000000
TRX2025121300000131,404703AB01CD1001,2025-12-13 17:45:00,2025-12-14 00:00:00,12.690,CHF,12.690,CHF,Cafe Central,Zurich,CHE,BOOKED,Cafe Central,merchant,1.000000
TRX2025121600000132,404703AB01CD1001,2025-12-16 14:01:00,2025-12-17 00:00:00,15.510,CHF,15.510,CHF,Volg,Uster,CHE,BOOKED,Volg,merchant,1.000000
TRX2025122500000133,404703AB01CD1001,2025-12-25 15:16:00,2025-12-26 00:00:00,30.240,CHF,30.240,CHF,Decathlon,Zurich,CHE,BOOKED,Decathlon,merchant,1.000000
TRX2025123100000099,404703AB01CD1001,2025-12-30 10:00:00,2025-12-31 00:00:00,55.000,CHF,55.000,CHF,Coop,Zurich,CHE,PENDING,Coop pending,merchant,1.000000
